epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.921,0.48336,0.95722,1,0.14722,0.000542437,0.000542437,0.000542437
2,30.3897,0.2032,0.91444,1,0.21822,0.00108723,0.00108723,0.00108723
3,42.8344,0.22266,0.95187,1,0.13469,0.00162103,0.00162103,0.00162103
4,56.1786,0.29424,0.97326,1,0.11513,0.00161749,0.00161749,0.00161749
5,68.6476,0.33675,0.97326,1,0.12844,0.00160099,0.00160099,0.00160099
6,81.1964,0.3114,0.93048,1,0.28276,0.00158448,0.00158448,0.00158448
7,93.5606,0.2787,0.96791,1,0.09518,0.00156798,0.00156798,0.00156798
8,105.989,0.28613,0.96257,1,0.07816,0.00155148,0.00155148,0.00155148
9,118.281,0.2176,0.95187,1,0.13953,0.00153497,0.00153497,0.00153497
10,130.749,0.1974,0.97326,1,0.07874,0.00151847,0.00151847,0.00151847
11,143.232,0.26532,0.96257,1,0.09134,0.00150197,0.00150197,0.00150197
12,155.697,0.21127,0.97326,1,0.07461,0.00148546,0.00148546,0.00148546
13,168.192,0.23398,0.97861,1,0.04585,0.00146896,0.00146896,0.00146896
14,180.691,0.21263,0.96257,1,0.09887,0.00145246,0.00145246,0.00145246
15,193.093,0.15692,0.97326,1,0.09217,0.00143595,0.00143595,0.00143595
16,205.514,0.1783,0.91979,1,0.18545,0.00141945,0.00141945,0.00141945
17,217.393,0.13145,0.96257,1,0.09309,0.00140295,0.00140295,0.00140295
18,229.288,0.16959,0.97861,1,0.06679,0.00138644,0.00138644,0.00138644
19,241.592,0.13057,0.98396,1,0.06336,0.00136994,0.00136994,0.00136994
20,254.355,0.1607,0.97861,1,0.06997,0.00135344,0.00135344,0.00135344
21,267.045,0.19084,0.97861,1,0.07823,0.00133693,0.00133693,0.00133693
22,279.795,0.15114,0.97861,1,0.06678,0.00132043,0.00132043,0.00132043
23,292.475,0.14443,0.97861,1,0.07399,0.00130393,0.00130393,0.00130393
24,305.013,0.14445,0.97326,1,0.07215,0.00128742,0.00128742,0.00128742
25,317.767,0.18723,0.97326,1,0.07441,0.00127092,0.00127092,0.00127092
26,330.423,0.15076,0.97326,1,0.0778,0.00125442,0.00125442,0.00125442
27,343.122,0.14329,0.97326,1,0.07592,0.00123791,0.00123791,0.00123791
28,356.037,0.15012,0.96791,1,0.07422,0.00122141,0.00122141,0.00122141
29,368.827,0.14409,0.97326,1,0.05354,0.00120491,0.00120491,0.00120491
30,381.478,0.20801,0.97326,1,0.06329,0.0011884,0.0011884,0.0011884
31,394.248,0.18257,0.98396,1,0.04474,0.0011719,0.0011719,0.0011719
32,406.98,0.21308,0.98396,1,0.06324,0.0011554,0.0011554,0.0011554
33,419.485,0.21875,0.97861,1,0.07078,0.00113889,0.00113889,0.00113889
34,432.785,0.12773,0.97861,1,0.07729,0.00112239,0.00112239,0.00112239
35,445.138,0.12638,0.97861,1,0.08477,0.00110589,0.00110589,0.00110589
36,457.214,0.15155,0.97861,1,0.1056,0.00108938,0.00108938,0.00108938
37,469.993,0.13783,0.97861,1,0.07686,0.00107288,0.00107288,0.00107288
38,483.357,0.20438,0.97861,1,0.08675,0.00105638,0.00105638,0.00105638
39,496.648,0.15534,0.97326,1,0.08632,0.00103987,0.00103987,0.00103987
